cuisine,location,headline,menu_url,file_path
Greek, Upper West Side, Eléa,,
French, The Seaport, The Paris Cafe,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48817-TheParisCafe-menu.pdf,menu_urls/the-paris-cafe.pdf
Eclectic, East Harlem, Contento,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45848-Contento-menu.pdf,menu_urls/contento.pdf
Italian, Times Square/Theatre District, Barbetta,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/7380-Barbetta-menu.pdf,menu_urls/barbetta.pdf
Italian, Williamsburg, Antica Pesa,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/37936-AnticaPesa-menu.pdf,menu_urls/antica-pesa.pdf
Italian, Hells Kitchen, Bocca Di Bacco—Hell's Kitchen,,
American (Traditional), Harlem, Harlem Shake - Harlem,,
American (Traditional), West Village, Anton's,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48770-Anton%27s-menu.pdf,menu_urls/antons.pdf
French, West Village, Petite Boucherie,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/40774-PetiteBoucherie-menu.pdf,menu_urls/petite-boucherie.pdf
French, Nomad, Koloman,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/48440-Koloman-menu.pdf,menu_urls/koloman.pdf
American (New), Times Square/Theatre District, Bacall’s,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/41032-Bacall%E2%80%99s-menu.pdf,menu_urls/bacalls.pdf
Italian, West Village, Rosemary's West Village,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/45429-Rosemary%27sWestVillage-menu.pdf,menu_urls/rosemarys-west-village.pdf
Mexican, Upper West Side, El Coco - Upper West Side,,
American (New), Battery Park City, Atrio Wine Bar & Restaurant,,
Mexican, Meatpacking District, Dos Caminos Meatpacking District,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/24743-DosCaminosMeatpackingDistrict-menu.pdf,menu_urls/dos-caminos-meatpacking-district.pdf
American (New), Central Park, Tavern on the Green,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/8153-TavernontheGreen-menu.pdf,menu_urls/tavern-on-the-green.pdf
Mexican, Greenwich Village, La Contenta Oeste,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/44485-LaContentaOeste-menu.pdf,menu_urls/la-contenta-oeste.pdf
Steakhouse, Flatiron District, Yakiniku Futago,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/44775-YakinikuFutago-menu.pdf,menu_urls/yakiniku-futago.pdf
Latin American, Hells Kitchen, La Pulperia,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/37671-LaPulperia-menu.pdf,menu_urls/la-pulperia.pdf
American (New), Midtown West, Redeye Grill,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/9618-RedeyeGrill-menu.pdf,menu_urls/redeye-grill.pdf
Spanish, Chelsea, Socarrat Paella Bar - Chelsea,,
Soul Food / Southern, Upper West Side, Jacob's Pickles,,
American (New), East Village, Virginia's,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/39507-Virginia%27s-menu.pdf,menu_urls/virginias.pdf
French, Gramercy, L'Express,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/23934-L%27Express-menu.pdf,menu_urls/lexpress.pdf
Steakhouse, Midtown West, Strip House Midtown,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/37491-StripHouseMidtown-menu.pdf,menu_urls/strip-house-midtown.pdf
American (New), Gramercy, Union Square Cafe,https://nyc-tourism-public.s3.amazonaws.com/srw24/menus/9748-UnionSquareCafe-menu.pdf,menu_urls/union-square-cafe.pdf
